epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,47249.4,0.6876,0.50856,0.88475,0.97114,0.96846,0.9877,0.87492,0.51732,0.63086,0.78455,0.0022285,0.0022285,0.0022285
159,47532.2,0.68676,0.50773,0.88397,0.97163,0.9686,0.98778,0.87523,0.51741,0.62501,0.78436,0.002179,0.002179,0.002179
160,47805.5,0.68382,0.50695,0.88427,0.97177,0.96854,0.98775,0.87497,0.51882,0.62043,0.78442,0.0021295,0.0021295,0.0021295
161,48088,0.67844,0.50423,0.88319,0.97216,0.96859,0.98777,0.87462,0.51893,0.61418,0.78427,0.00208,0.00208,0.00208
162,48379.3,0.67711,0.50137,0.88315,0.97215,0.96853,0.98782,0.87505,0.51916,0.61241,0.78417,0.0020305,0.0020305,0.0020305
163,48663.8,0.67352,0.49883,0.88148,0.97156,0.96936,0.98786,0.87632,0.51587,0.61151,0.78362,0.001981,0.001981,0.001981
164,48945,0.67509,0.50079,0.88221,0.9709,0.97057,0.98797,0.87666,0.51594,0.60853,0.78344,0.0019315,0.0019315,0.0019315
165,49228.3,0.67217,0.50045,0.88285,0.97153,0.97034,0.98806,0.87672,0.51598,0.60465,0.78335,0.001882,0.001882,0.001882
166,49513.2,0.66711,0.49484,0.88032,0.97166,0.97001,0.98812,0.87758,0.51477,0.60094,0.78306,0.0018325,0.0018325,0.0018325
167,49807.8,0.66843,0.49543,0.88128,0.97009,0.97245,0.98822,0.87709,0.51683,0.59812,0.78318,0.001783,0.001783,0.001783
168,50096.4,0.66233,0.49346,0.88,0.96931,0.97265,0.98835,0.87573,0.51944,0.59591,0.78347,0.0017335,0.0017335,0.0017335
169,50371.2,0.65963,0.49087,0.87992,0.9708,0.97217,0.98842,0.87705,0.51683,0.59708,0.78305,0.001684,0.001684,0.001684
170,50649.5,0.6544,0.48611,0.87867,0.97047,0.97204,0.98843,0.8763,0.51709,0.60113,0.78304,0.0016345,0.0016345,0.0016345
171,50937.5,0.65429,0.488,0.87695,0.97117,0.96959,0.98812,0.87598,0.51718,0.60452,0.78296,0.001585,0.001585,0.001585
172,51224,0.6487,0.48137,0.8775,0.97161,0.9705,0.98806,0.87684,0.51536,0.60742,0.78268,0.0015355,0.0015355,0.0015355
173,51513.2,0.64729,0.4816,0.87717,0.97261,0.96929,0.988,0.87684,0.51538,0.61195,0.78256,0.001486,0.001486,0.001486
174,51795.6,0.64568,0.48249,0.87554,0.97352,0.9689,0.98807,0.87775,0.5125,0.62218,0.78209,0.0014365,0.0014365,0.0014365
175,52077.8,0.64126,0.47831,0.87481,0.97391,0.96901,0.98816,0.87803,0.51051,0.62517,0.7817,0.001387,0.001387,0.001387
176,52361.3,0.63697,0.4755,0.87541,0.97385,0.96906,0.98817,0.87927,0.50763,0.62884,0.78123,0.0013375,0.0013375,0.0013375
177,52651.4,0.6319,0.47282,0.87377,0.97349,0.96926,0.98819,0.87918,0.50812,0.63771,0.7812,0.001288,0.001288,0.001288
178,52927.5,0.63165,0.46975,0.87228,0.97439,0.96922,0.98821,0.87909,0.5084,0.63859,0.78109,0.0012385,0.0012385,0.0012385
179,53204.6,0.63007,0.46979,0.87284,0.97489,0.96922,0.98826,0.87984,0.50583,0.63653,0.78063,0.001189,0.001189,0.001189
180,53487.1,0.62228,0.46544,0.87082,0.97491,0.96977,0.98828,0.88014,0.50475,0.63455,0.78045,0.0011395,0.0011395,0.0011395
181,53777,0.6271,0.46787,0.87281,0.97471,0.96959,0.98834,0.88066,0.50451,0.62977,0.78037,0.00109,0.00109,0.00109
182,54056.6,0.61998,0.46358,0.87083,0.97457,0.96966,0.98837,0.8806,0.50633,0.63814,0.78051,0.0010405,0.0010405,0.0010405
183,54337.5,0.61454,0.4601,0.87023,0.97522,0.9695,0.98846,0.8804,0.50712,0.6475,0.78053,0.000991,0.000991,0.000991
184,54609.1,0.61347,0.45949,0.86933,0.97556,0.969,0.98848,0.88034,0.50764,0.65342,0.78049,0.0009415,0.0009415,0.0009415
185,54895,0.61026,0.45713,0.86835,0.97548,0.96936,0.98852,0.88144,0.50532,0.64696,0.78015,0.000892,0.000892,0.000892
186,55186.5,0.6068,0.45514,0.86802,0.97521,0.97034,0.98853,0.88086,0.50684,0.64364,0.7802,0.0008425,0.0008425,0.0008425
